id,timestamp,dataset_type,filename,path,rows,columns,class_distribution,train_test_distribution
1,2026-07-16 15:19:26,nb15,nb15_aggr.csv,data/preprocessed/nb15/nb15_aggr.csv,250982,19,{'Normal':_93000__'Generic':_58871__'Exploits':_44525__'Fuzzers':_24246__'DoS':_16353__'Reconnaissance':_13987},"{'test': {'DoS': 3271, 'Exploits': 8905, 'Fuzzers': 4850, 'Generic': 11775, 'Normal': 18600, 'Reconnaissance': 2798}, 'train': {'DoS': 13082, 'Exploits': 35620, 'Fuzzers': 19396, 'Generic': 47096, 'Normal': 74400, 'Reconnaissance': 11189}}"
2,2026-07-16 15:19:27,nb15,Generic.csv,data/preprocessed/nb15/single_classes/Generic.csv,58871,19,{'Generic':_58871},"{'test': {'Generic': 11775}, 'train': {'Generic': 47096}}"
3,2026-07-16 15:19:27,nb15,Fuzzers.csv,data/preprocessed/nb15/single_classes/Fuzzers.csv,24246,19,{'Fuzzers':_24246},"{'test': {'Fuzzers': 4850}, 'train': {'Fuzzers': 19396}}"
4,2026-07-16 15:19:28,nb15,Normal.csv,data/preprocessed/nb15/single_classes/Normal.csv,93000,19,{'Normal':_93000},"{'test': {'Normal': 18600}, 'train': {'Normal': 74400}}"
5,2026-07-16 15:19:28,nb15,Reconnaissance.csv,data/preprocessed/nb15/single_classes/Reconnaissance.csv,13987,19,{'Reconnaissance':_13987},"{'test': {'Reconnaissance': 2798}, 'train': {'Reconnaissance': 11189}}"
6,2026-07-16 15:19:29,nb15,Exploits.csv,data/preprocessed/nb15/single_classes/Exploits.csv,44525,19,{'Exploits':_44525},"{'test': {'Exploits': 8905}, 'train': {'Exploits': 35620}}"
7,2026-07-16 15:19:29,nb15,DoS.csv,data/preprocessed/nb15/single_classes/DoS.csv,16353,19,{'DoS':_16353},"{'test': {'DoS': 3271}, 'train': {'DoS': 13082}}"
8,2026-07-16 15:19:31,nb15,nb15_aggr_scaled.csv,data/preprocessed/nb15/nb15_aggr_scaled.csv,102300,19,{'Normal':_93000__'Generic':_3465__'Exploits':_2647__'Fuzzers':_1388__'DoS':_938__'Reconnaissance':_862},"{'test': {'DoS': 191, 'Exploits': 516, 'Fuzzers': 275, 'Generic': 700, 'Normal': 18600, 'Reconnaissance': 178}, 'train': {'DoS': 747, 'Exploits': 2131, 'Fuzzers': 1113, 'Generic': 2765, 'Normal': 74400, 'Reconnaissance': 684}}"
9,2026-07-16 15:19:32,nb15,Normal_Generic.csv,data/preprocessed/nb15/normal_anomaly/Normal_Generic.csv,102300,19,{'Normal':_93000__'Generic':_9300},"{'test': {'Generic': 1860, 'Normal': 18600}, 'train': {'Generic': 7440, 'Normal': 74400}}"
10,2026-07-16 15:19:34,nb15,Normal_Fuzzers.csv,data/preprocessed/nb15/normal_anomaly/Normal_Fuzzers.csv,102300,19,{'Normal':_93000__'Fuzzers':_9300},"{'test': {'Fuzzers': 1860, 'Normal': 18600}, 'train': {'Fuzzers': 7440, 'Normal': 74400}}"
11,2026-07-16 15:19:35,nb15,Normal_Reconnaissance.csv,data/preprocessed/nb15/normal_anomaly/Normal_Reconnaissance.csv,102300,19,{'Normal':_93000__'Reconnaissance':_9300},"{'test': {'Normal': 18600, 'Reconnaissance': 1860}, 'train': {'Normal': 74400, 'Reconnaissance': 7440}}"
12,2026-07-16 15:19:37,nb15,Normal_Exploits.csv,data/preprocessed/nb15/normal_anomaly/Normal_Exploits.csv,102300,19,{'Normal':_93000__'Exploits':_9300},"{'test': {'Exploits': 1860, 'Normal': 18600}, 'train': {'Exploits': 7440, 'Normal': 74400}}"
13,2026-07-16 15:19:38,nb15,Normal_DoS.csv,data/preprocessed/nb15/normal_anomaly/Normal_DoS.csv,102300,19,{'Normal':_93000__'DoS':_9300},"{'test': {'DoS': 1860, 'Normal': 18600}, 'train': {'DoS': 7440, 'Normal': 74400}}"
14,2026-07-16 15:19:40,sat20,sat20_aggr.csv,data/preprocessed/sat20/sat20_aggr.csv,82320,19,{'UDP_DDoS':_43244__'Syn_DDoS':_39076},"{'test': {'Syn_DDoS': 7816, 'UDP_DDoS': 8649}, 'train': {'Syn_DDoS': 31260, 'UDP_DDoS': 34595}}"
15,2026-07-16 15:19:40,sat20,UDP_DDoS.csv,data/preprocessed/sat20/single_classes/UDP_DDoS.csv,43244,19,{'UDP_DDoS':_43244},"{'test': {'UDP_DDoS': 8649}, 'train': {'UDP_DDoS': 34595}}"
16,2026-07-16 15:19:41,sat20,Syn_DDoS.csv,data/preprocessed/sat20/single_classes/Syn_DDoS.csv,39076,19,{'Syn_DDoS':_39076},"{'test': {'Syn_DDoS': 7816}, 'train': {'Syn_DDoS': 31260}}"
17,2026-07-16 15:19:43,ter20,ter20_aggr.csv,data/preprocessed/ter20/ter20_aggr.csv,127244,19,{'DDoS':_57292__'Botnet':_40401__'Syn_DDoS':_15713__'UDP_DDoS':_13838},"{'test': {'Botnet': 8081, 'DDoS': 11459, 'Syn_DDoS': 3143, 'UDP_DDoS': 2768}, 'train': {'Botnet': 32320, 'DDoS': 45833, 'Syn_DDoS': 12570, 'UDP_DDoS': 11070}}"
18,2026-07-16 15:19:43,ter20,DDoS.csv,data/preprocessed/ter20/single_classes/DDoS.csv,57292,19,{'DDoS':_57292},"{'test': {'DDoS': 11459}, 'train': {'DDoS': 45833}}"
19,2026-07-16 15:19:43,ter20,UDP_DDoS.csv,data/preprocessed/ter20/single_classes/UDP_DDoS.csv,13838,19,{'UDP_DDoS':_13838},"{'test': {'UDP_DDoS': 2768}, 'train': {'UDP_DDoS': 11070}}"
