id,dataset_type,class,duration,src_bytes,dst_bytes,src_pkts,dst_pkts,src_win_byt,dst_win_byt,load_s,down_up_ratio,total_bytes,total_pkts,src_mean_pkt_size,dst_mean_pkt_size,pkts_per_sec,win_diff,byte_ratio,label
1,nb15,aggregated,35208652270907.12,30998471332.1407,21908078326.7241,18963.998,12850.7443,16236.2981,16207.3475,537696341846657.56,4.8465,53421240011.3828,43776.604,43333.0901,65743.1793,58008091862.4407,650.076,157.3718,0.2332
2,nb15,Generic,1627440776880.549,678563252.0,3059933917.5766,431.3266,1678.9511,1092.1916,1092.1916,167580757652490.2,0.074,3778384112.6918,2762.9056,2732.8495,6919.5044,36853350826.6369,0.0,28.0127,0.0
3,nb15,Fuzzers,89149840199521.42,1843979130.1728,32418507.3384,1181.4271,68.8572,15014.7909,15014.7909,2024531090462703.5,0.1252,1929057628.1777,1630.6168,102831.5552,2524.0422,67340124020.6259,0.0,1.0345,0.0
4,nb15,Normal,20787910765099.582,166497993.8247,16567207200.8131,2840.7356,9497.8592,13107.5275,13836.1117,441831215312562.1,0.1939,17285727372.3965,22255.1246,39204.9333,94186.7359,57237201429.9176,1722.8921,67.9025,0.0
5,nb15,Reconnaissance,24301388057225.098,51150462.3583,9174060346.944,220.6376,5042.2551,16257.1423,16257.1423,234678125168176.38,0.164,9315711871.5872,6848.8187,1486.838,2110.0792,43758709836.9586,0.0,14.4379,0.0
6,nb15,Exploits,54831422427422.41,136186943986.4049,18308903029.383,77045.7438,12066.5923,15376.3254,15377.005,398362812507139.94,25.93,155079993512.5745,115375.7695,73972.8375,101880.948,34373443864.0473,2.9208,585.5676,0.0
7,nb15,DoS,102084028186352.28,97085998215.2987,171368747868.7563,59471.2552,97172.3155,10559.6371,10559.6371,547684736870391.94,0.3974,270388830403.5762,203716.1166,30992.503,29158.7926,46434828597.5687,0.0,225.4443,0.0
8,sat20,aggregated,366336807583306.44,1021600.1878,394.8627,9.915,0.3752,8611138.8877,10195.8512,9.884259605944059e+16,0.0435,1022228.4291,11.3854,34883.1981,8.7231,2.703400506685111e+23,8576340.9743,0.0048,0.0
9,sat20,UDP_DDoS,24435268800.7711,1080573.6587,751.6464,8.5367,0.0329,219140.5994,19404.9088,1.401950307791379e+17,0.0003,1081452.6875,8.6226,818.0951,16.6052,8.523731450363645e+22,149644.4826,0.0091,0.0
10,sat20,Syn_DDoS,736974949835885.1,776.1916,0.0,11.1834,0.7028,10266.4659,4.5964,153167389754289.25,0.0864,776.1916,14.3644,194.0281,0.0,4.50828157051692e+23,10497.4862,0.0,0.0
11,ter20,aggregated,37921270610791.41,1521976.6572,12.8577,1.3838,0.4201,6114491.2624,1.0594,1.1536598857047496e+18,0.0516,1520080.1225,2.4127,350679.8309,1.7583,1.7221632746701147e+23,6113904.7001,1131683999.7186,0.0
12,ter20,DDoS,525215991665.8737,1116783.3329,0.0025,0.0161,0.0001,595.4982,0.0,1.1300054432624956e+18,0.0,1116782.7833,0.0162,276950.0546,0.0006,1.3216343626782543e+23,595.2943,2513439921.8041,0.0
13,ter20,UDP_DDoS,144942365331954.72,78.6136,0.0,2.4141,0.574,14375.3284,9.2841,78387598062604.14,0.0833,78.6136,3.6227,19.6534,0.0,4.1746296267050676e+23,14790.4323,0.0,0.0
14,ter20,Botnet,964087380136.7518,936363.9141,0.0,1.8166,0.0001,106308.5396,0.0,1.1349633663364006e+18,0.0,936363.9141,1.8167,213709.2216,0.0,1.2104728147775891e+23,106305.2954,0.0,0.0
15,ter20,Syn_DDoS,149583264390527.16,201.0367,73.5153,3.9,2.0421,6512.2596,0.2431,47440233315561.04,0.2307,402.6203,9.528,15.2927,8.752,2.1080720621826324e+23,6511.5728,0.225,0.0
