id,model_name,seed_0,seed_1,seed_101,seed_123,seed_12345,seed_1337,seed_2026,seed_42,seed_7,seed_999
1,injection_aggregate,0.8907,0.89275,0.8837125,0.89170625,0.8904375,0.8906625,0.8916375,0.88999375,0.8897625,0.89085
2,nb15_sat20_aggregate,0.5628625,0.5628625,0.56288125,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625,0.5628625
3,nb15_sat20_syn_ddos,0.278525,0.27940624999999997,0.27941875,0.282475,0.282475,0.282475,0.282475,0.278525,0.27940624999999997,0.282475
4,nb15_sat20_udp_ddos,0.53023125,0.52923125,0.53023125,0.53023125,0.53023125,0.53023125,0.52923125,0.53023125,0.52923125,0.53023125
5,nb15_stin_aggregate,0.5628625,0.5628625,0.56288125,0.56288125,0.56288125,0.5628625,0.56288125,0.56288125,0.5628625,0.56288125
6,nb15_ter20_aggregate,0.5628625,0.5628625,0.56288125,0.5628625,0.5628625,0.5628625,0.5628625,0.56288125,0.5628625,0.56288125
7,nb15_ter20_botnet,0.5392875,0.5433375,0.53023125,0.53023125,0.53925,0.53023125,0.532975,0.53023125,0.53023125,0.53023125
8,nb15_ter20_ddos,0.53023125,0.335325,0.335325,0.335325,0.3815875,0.5027125,0.335325,0.335325,0.397725,0.53023125
9,nb15_ter20_syn_ddos,0.56288125,0.5628125,0.56288125,0.5628625,0.56288125,0.5628625,0.56288125,0.56288125,0.56288125,0.56288125
10,nb15_ter20_udp_ddos,0.282475,0.282475,0.282475,0.282475,0.282475,0.282475,0.282475,0.282475,0.282475,0.282475
